itis_tsn,scientific_name,huc8,AGAP,GBIF,IchthyMaps,NatureServe
159705,Lampetra aepyptera,2040207,,,,1.0
159705,Lampetra aepyptera,2040303,,,1.0,1.0
159705,Lampetra aepyptera,2040304,1.0,,,1.0
159705,Lampetra aepyptera,2050306,,,1.0,1.0
159705,Lampetra aepyptera,2060002,1.0,,1.0,1.0
159705,Lampetra aepyptera,2060003,,1.0,1.0,1.0
159705,Lampetra aepyptera,2060005,1.0,,1.0,1.0
159705,Lampetra aepyptera,2060006,1.0,,1.0,1.0
159705,Lampetra aepyptera,2070008,1.0,,,
159705,Lampetra aepyptera,2070010,1.0,,1.0,1.0
159705,Lampetra aepyptera,2070011,1.0,1.0,1.0,1.0
159705,Lampetra aepyptera,2080102,1.0,,1.0,1.0
159705,Lampetra aepyptera,2080103,1.0,,1.0,
159705,Lampetra aepyptera,2080104,1.0,,1.0,1.0
159705,Lampetra aepyptera,2080105,1.0,,1.0,1.0
159705,Lampetra aepyptera,2080106,1.0,,1.0,1.0
159705,Lampetra aepyptera,2080107,1.0,,1.0,
159705,Lampetra aepyptera,2080109,1.0,,1.0,1.0
159705,Lampetra aepyptera,2080110,1.0,,,1.0
159705,Lampetra aepyptera,2080111,1.0,,1.0,1.0
159705,Lampetra aepyptera,2080203,1.0,,,
159705,Lampetra aepyptera,2080204,,,,1.0
159705,Lampetra aepyptera,2080206,1.0,1.0,1.0,1.0
159705,Lampetra aepyptera,2080207,,,1.0,
159705,Lampetra aepyptera,3010201,1.0,,,
159705,Lampetra aepyptera,3010204,1.0,,,
159705,Lampetra aepyptera,3020102,,,,1.0
159705,Lampetra aepyptera,3020103,,,1.0,1.0
159705,Lampetra aepyptera,3020201,,1.0,1.0,1.0
159705,Lampetra aepyptera,3020204,,1.0,1.0,1.0
159705,Lampetra aepyptera,3120003,,,1.0,
159705,Lampetra aepyptera,3130003,,1.0,,
159705,Lampetra aepyptera,3140102,1.0,,,
159705,Lampetra aepyptera,3140302,1.0,,1.0,1.0
159705,Lampetra aepyptera,3150101,,1.0,1.0,1.0
159705,Lampetra aepyptera,3150102,,,1.0,1.0
159705,Lampetra aepyptera,3150103,,1.0,1.0,1.0
159705,Lampetra aepyptera,3150104,,,1.0,1.0
159705,Lampetra aepyptera,3150105,,,1.0,1.0
159705,Lampetra aepyptera,3150106,,,1.0,1.0
159705,Lampetra aepyptera,3150107,,,1.0,1.0
159705,Lampetra aepyptera,3150109,,,1.0,1.0
159705,Lampetra aepyptera,3150110,,,1.0,1.0
159705,Lampetra aepyptera,3150201,,,1.0,1.0
159705,Lampetra aepyptera,3150202,1.0,,1.0,1.0
159705,Lampetra aepyptera,3150203,1.0,,1.0,1.0
159705,Lampetra aepyptera,3150204,,,1.0,1.0
159705,Lampetra aepyptera,3160101,,,1.0,1.0
159705,Lampetra aepyptera,3160103,,,1.0,1.0
159705,Lampetra aepyptera,3160105,,,1.0,1.0
159705,Lampetra aepyptera,3160106,,,1.0,1.0
159705,Lampetra aepyptera,3160107,,,1.0,1.0
159705,Lampetra aepyptera,3160108,,,1.0,1.0
159705,Lampetra aepyptera,3160109,,,,1.0
159705,Lampetra aepyptera,3160110,,1.0,1.0,
159705,Lampetra aepyptera,3160111,,,1.0,1.0
159705,Lampetra aepyptera,3160112,,,1.0,1.0
159705,Lampetra aepyptera,3160113,,1.0,1.0,1.0
159705,Lampetra aepyptera,3160201,,,1.0,1.0
159705,Lampetra aepyptera,3160202,,,1.0,1.0
159705,Lampetra aepyptera,3160203,,,1.0,1.0
159705,Lampetra aepyptera,3160204,,,1.0,1.0
159705,Lampetra aepyptera,3160205,,,,1.0
159705,Lampetra aepyptera,3170002,,,1.0,
159705,Lampetra aepyptera,3170004,,,1.0,
159705,Lampetra aepyptera,3170005,,,1.0,
159705,Lampetra aepyptera,3170006,,,,1.0
159705,Lampetra aepyptera,3170007,,,,1.0
159705,Lampetra aepyptera,3180001,1.0,,,
159705,Lampetra aepyptera,3180002,,,,1.0
159705,Lampetra aepyptera,3180003,,,,1.0
159705,Lampetra aepyptera,3180004,,,,1.0
159705,Lampetra aepyptera,5010001,,1.0,,
159705,Lampetra aepyptera,5010006,,,1.0,1.0
159705,Lampetra aepyptera,5010007,1.0,,1.0,1.0
159705,Lampetra aepyptera,5010008,,1.0,1.0,1.0
159705,Lampetra aepyptera,5010009,,1.0,1.0,1.0
159705,Lampetra aepyptera,5020002,,,1.0,1.0
159705,Lampetra aepyptera,5020003,1.0,,1.0,1.0
159705,Lampetra aepyptera,5020004,,,1.0,
159705,Lampetra aepyptera,5020005,,,1.0,1.0
159705,Lampetra aepyptera,5020006,,,1.0,
159705,Lampetra aepyptera,5030101,1.0,,1.0,1.0
159705,Lampetra aepyptera,5030201,1.0,,1.0,1.0
159705,Lampetra aepyptera,5030202,1.0,,1.0,1.0
159705,Lampetra aepyptera,5030203,1.0,,1.0,1.0
159705,Lampetra aepyptera,5030204,1.0,,1.0,1.0
159705,Lampetra aepyptera,5040001,1.0,,1.0,1.0
159705,Lampetra aepyptera,5040002,1.0,,1.0,1.0
159705,Lampetra aepyptera,5040003,1.0,,1.0,1.0
159705,Lampetra aepyptera,5040004,1.0,,1.0,1.0
159705,Lampetra aepyptera,5040005,1.0,,1.0,1.0
159705,Lampetra aepyptera,5040006,1.0,,1.0,1.0
159705,Lampetra aepyptera,5050005,1.0,,1.0,
159705,Lampetra aepyptera,5050007,1.0,,1.0,1.0
159705,Lampetra aepyptera,5050008,1.0,,1.0,1.0
159705,Lampetra aepyptera,5050009,1.0,,1.0,
159705,Lampetra aepyptera,5060001,1.0,,1.0,1.0
159705,Lampetra aepyptera,5060002,1.0,,1.0,1.0
159705,Lampetra aepyptera,5060003,1.0,,1.0,1.0
159705,Lampetra aepyptera,5070102,1.0,,1.0,1.0
159705,Lampetra aepyptera,5070201,1.0,,1.0,1.0
159705,Lampetra aepyptera,5070203,1.0,,1.0,1.0
159705,Lampetra aepyptera,5070204,1.0,,1.0,1.0
159705,Lampetra aepyptera,5090101,1.0,,1.0,1.0
159705,Lampetra aepyptera,5090102,1.0,1.0,1.0,1.0
159705,Lampetra aepyptera,5090103,1.0,,1.0,1.0
159705,Lampetra aepyptera,5090104,1.0,,1.0,1.0
159705,Lampetra aepyptera,5090201,1.0,,1.0,1.0
159705,Lampetra aepyptera,5090202,,,1.0,1.0
159705,Lampetra aepyptera,5100101,1.0,,1.0,1.0
159705,Lampetra aepyptera,5100102,,,1.0,
159705,Lampetra aepyptera,5100201,1.0,,,
159705,Lampetra aepyptera,5100202,,,1.0,
159705,Lampetra aepyptera,5100203,1.0,,,1.0
159705,Lampetra aepyptera,5100204,1.0,,1.0,1.0
159705,Lampetra aepyptera,5110001,1.0,,1.0,1.0
159705,Lampetra aepyptera,5110002,,,1.0,1.0
159705,Lampetra aepyptera,5110003,,,,1.0
159705,Lampetra aepyptera,5110004,1.0,,1.0,1.0
159705,Lampetra aepyptera,5110006,,,,1.0
159705,Lampetra aepyptera,5120111,,,1.0,1.0
159705,Lampetra aepyptera,5120202,,,1.0,1.0
159705,Lampetra aepyptera,5120204,1.0,,,
159705,Lampetra aepyptera,5120208,1.0,,1.0,1.0
159705,Lampetra aepyptera,5130101,1.0,,1.0,1.0
159705,Lampetra aepyptera,5130102,1.0,,1.0,1.0
159705,Lampetra aepyptera,5130103,,,1.0,1.0
159705,Lampetra aepyptera,5130104,1.0,,,
159705,Lampetra aepyptera,5130105,,,1.0,
159705,Lampetra aepyptera,5130106,,,1.0,1.0
159705,Lampetra aepyptera,5130107,,,1.0,1.0
159705,Lampetra aepyptera,5130108,,,1.0,1.0
159705,Lampetra aepyptera,5130204,,,1.0,
159705,Lampetra aepyptera,5130205,1.0,,1.0,1.0
159705,Lampetra aepyptera,5130206,1.0,,1.0,1.0
159705,Lampetra aepyptera,5140101,,,,1.0
159705,Lampetra aepyptera,5140102,,,1.0,1.0
159705,Lampetra aepyptera,5140104,,,1.0,1.0
159705,Lampetra aepyptera,5140203,1.0,,1.0,1.0
159705,Lampetra aepyptera,5140204,,,1.0,1.0
159705,Lampetra aepyptera,6010204,,,1.0,1.0
159705,Lampetra aepyptera,6020001,,,1.0,
159705,Lampetra aepyptera,6020002,,,1.0,
159705,Lampetra aepyptera,6020003,,,1.0,
159705,Lampetra aepyptera,6030002,1.0,,1.0,1.0
159705,Lampetra aepyptera,6030003,1.0,1.0,1.0,1.0
159705,Lampetra aepyptera,6030005,,1.0,1.0,1.0
159705,Lampetra aepyptera,6030006,,,1.0,1.0
159705,Lampetra aepyptera,6040001,1.0,,1.0,1.0
159705,Lampetra aepyptera,6040003,,,1.0,1.0
159705,Lampetra aepyptera,6040004,1.0,,1.0,1.0
159705,Lampetra aepyptera,6040005,1.0,1.0,1.0,1.0
159705,Lampetra aepyptera,6040006,1.0,,1.0,1.0
159705,Lampetra aepyptera,7140102,,,,1.0
159705,Lampetra aepyptera,7140103,,,1.0,1.0
159705,Lampetra aepyptera,7140105,,,,1.0
159705,Lampetra aepyptera,8010202,1.0,,1.0,1.0
159705,Lampetra aepyptera,8010203,1.0,,1.0,1.0
159705,Lampetra aepyptera,8010204,1.0,,1.0,1.0
159705,Lampetra aepyptera,8010205,1.0,,1.0,1.0
159705,Lampetra aepyptera,8010207,1.0,,1.0,1.0
159705,Lampetra aepyptera,8010208,,,1.0,1.0
159705,Lampetra aepyptera,8020202,,,1.0,1.0
159705,Lampetra aepyptera,8030201,,,,1.0
159705,Lampetra aepyptera,8030203,,,,1.0
159705,Lampetra aepyptera,8060201,,,,1.0
159705,Lampetra aepyptera,8060205,,,,1.0
159705,Lampetra aepyptera,8060206,,,,1.0
159705,Lampetra aepyptera,8090203,,,,1.0
159705,Lampetra aepyptera,11010003,1.0,,,1.0
159705,Lampetra aepyptera,11010004,1.0,,1.0,1.0
159705,Lampetra aepyptera,11010005,,,,1.0
159705,Lampetra aepyptera,11010006,1.0,,1.0,1.0
159705,Lampetra aepyptera,11010008,,,1.0,1.0
159705,Lampetra aepyptera,11010010,,,1.0,1.0
159705,Lampetra aepyptera,11010011,,,1.0,1.0
159705,Lampetra aepyptera,11010012,,,,1.0
159725,Ichthyomyzon castaneus,3130001,,1.0,,
159725,Ichthyomyzon castaneus,3150101,,,1.0,1.0
159725,Ichthyomyzon castaneus,3150102,1.0,,1.0,1.0
159725,Ichthyomyzon castaneus,3150103,,,1.0,1.0
159725,Ichthyomyzon castaneus,3150104,1.0,,1.0,1.0
159725,Ichthyomyzon castaneus,3150105,,,1.0,1.0
159725,Ichthyomyzon castaneus,3150106,,,1.0,1.0
159725,Ichthyomyzon castaneus,3150107,,,1.0,1.0
159725,Ichthyomyzon castaneus,3150109,,,,1.0
159725,Ichthyomyzon castaneus,3150110,,,1.0,1.0
159725,Ichthyomyzon castaneus,3150201,,,,1.0
159725,Ichthyomyzon castaneus,3150202,,,1.0,1.0
159725,Ichthyomyzon castaneus,3150203,,,1.0,1.0
159725,Ichthyomyzon castaneus,3160101,,,1.0,1.0
159725,Ichthyomyzon castaneus,3160102,,,1.0,
159725,Ichthyomyzon castaneus,3160103,,,1.0,1.0
159725,Ichthyomyzon castaneus,3160107,,,1.0,
159725,Ichthyomyzon castaneus,3160109,,,1.0,1.0
159725,Ichthyomyzon castaneus,3160110,,,1.0,1.0
159725,Ichthyomyzon castaneus,3160111,,,,1.0
159725,Ichthyomyzon castaneus,3160112,,,1.0,1.0
159725,Ichthyomyzon castaneus,3160201,,,1.0,1.0
159725,Ichthyomyzon castaneus,3180002,,,1.0,1.0
159725,Ichthyomyzon castaneus,4010302,,,1.0,1.0
159725,Ichthyomyzon castaneus,4020300,,,,1.0
159725,Ichthyomyzon castaneus,4030201,,,1.0,1.0
159725,Ichthyomyzon castaneus,4030202,1.0,,1.0,1.0
159725,Ichthyomyzon castaneus,4030203,,,1.0,
159725,Ichthyomyzon castaneus,4040001,,,1.0,1.0
159725,Ichthyomyzon castaneus,4050001,1.0,,1.0,1.0
159725,Ichthyomyzon castaneus,4050002,,,1.0,1.0
159725,Ichthyomyzon castaneus,4050003,1.0,,1.0,1.0
159725,Ichthyomyzon castaneus,4050004,1.0,,1.0,1.0
159725,Ichthyomyzon castaneus,4050005,1.0,,1.0,
159725,Ichthyomyzon castaneus,4050006,1.0,,1.0,1.0
159725,Ichthyomyzon castaneus,4050007,1.0,,1.0,1.0
159725,Ichthyomyzon castaneus,4060101,1.0,,1.0,1.0
