year,gdd_wtr_5c,wbic,cpe,tri_harvest,stocking_weight,state,species,rec_harvest,n_cpue,n_har,stock_id
1980,2585.423821,3035900,-999,0,0,MN,NP,-999,6,2,3035900MNNP
1981,2666.130512,3035900,-999,0,0,MN,NP,-999,6,2,3035900MNNP
1982,2541.830138,3035900,-999,0,0,MN,NP,-999,6,2,3035900MNNP
1983,2659.372091,3035900,-999,0,0,MN,NP,-999,6,2,3035900MNNP
1984,2510.467961,3035900,-999,0,0,MN,NP,-999,6,2,3035900MNNP
1985,2439.595015,3035900,-999,0,0,MN,NP,-999,6,2,3035900MNNP
1986,2604.276414,3035900,-999,0,0,MN,NP,-999,6,2,3035900MNNP
1987,2782.057464,3035900,-999,0,0,MN,NP,-999,6,2,3035900MNNP
1988,2677.093,3035900,-999,0,0,MN,NP,-999,6,2,3035900MNNP
1989,2496.816078,3035900,-999,0,0,MN,NP,-999,6,2,3035900MNNP
1990,2572.206517,3035900,-999,0,0,MN,NP,-999,6,2,3035900MNNP
1991,2719.845467,3035900,-999,0,0,MN,NP,-999,6,2,3035900MNNP
1992,2373.706439,3035900,-999,0,0,MN,NP,-999,6,2,3035900MNNP
1993,2299.376249,3035900,-999,0,0,MN,NP,-999,6,2,3035900MNNP
1994,2666.766203,3035900,2.75,0,0,MN,NP,-999,6,2,3035900MNNP
1995,2607.596023,3035900,-999,0,0,MN,NP,1686.056184,6,2,3035900MNNP
1996,2475.464321,3035900,-999,0,0,MN,NP,-999,6,2,3035900MNNP
1997,2519.183641,3035900,-999,0,0,MN,NP,-999,6,2,3035900MNNP
1998,2910.754608,3035900,-999,0,0,MN,NP,-999,6,2,3035900MNNP
1999,2609.88129,3035900,-999,0,0,MN,NP,-999,6,2,3035900MNNP
2000,2626.518083,3035900,11.75,0,0,MN,NP,-999,6,2,3035900MNNP
2001,2707.490413,3035900,-999,0,0,MN,NP,-999,6,2,3035900MNNP
2002,2565.156211,3035900,-999,0,0,MN,NP,-999,6,2,3035900MNNP
2003,2655.923442,3035900,-999,0,0,MN,NP,1174.012404,6,2,3035900MNNP
2004,2431.154398,3035900,20.91666667,0,0,MN,NP,-999,6,2,3035900MNNP
2005,2750.674022,3035900,-999,0,0,MN,NP,-999,6,2,3035900MNNP
2006,2702.444249,3035900,-999,0,0,MN,NP,-999,6,2,3035900MNNP
2007,2798.489253,3035900,-999,0,0,MN,NP,-999,6,2,3035900MNNP
2008,2467.297254,3035900,-999,0,0,MN,NP,-999,6,2,3035900MNNP
2009,2359.373147,3035900,5.916666667,0,0,MN,NP,-999,6,2,3035900MNNP
2010,2692.472109,3035900,-999,0,0,MN,NP,-999,6,2,3035900MNNP
2011,2597.737686,3035900,-999,0,0,MN,NP,-999,6,2,3035900MNNP
2012,2651.481885,3035900,-999,0,0,MN,NP,-999,6,2,3035900MNNP
2013,2604.834184,3035900,-999,0,0,MN,NP,-999,6,2,3035900MNNP
2014,2482.923489,3035900,8.714285714,0,0,MN,NP,-999,6,2,3035900MNNP
2015,2724.690331,3035900,-999,0,0,MN,NP,-999,6,2,3035900MNNP
2016,2824.503731,3035900,-999,0,0,MN,NP,-999,6,2,3035900MNNP
2017,2647.154559,3035900,-999,0,0,MN,NP,-999,6,2,3035900MNNP
2018,2776.179958,3035900,-999,0,0,MN,NP,-999,6,2,3035900MNNP
2019,2543.882714,3035900,13.66666667,0,0,MN,NP,-999,6,2,3035900MNNP
2020,2632.394876,3035900,-999,0,0,MN,NP,-999,6,2,3035900MNNP
1980,2689.727855,34007900,-999,0,0,MN,NP,-999,26,8,34007900MNNP
1981,2725.925951,34007900,-999,0,0,MN,NP,-999,26,8,34007900MNNP
1982,2676.919697,34007900,-999,0,0,MN,NP,-999,26,8,34007900MNNP
1983,2764.515804,34007900,-999,0,0,MN,NP,-999,26,8,34007900MNNP
1984,2612.704433,34007900,-999,0,0,MN,NP,-999,26,8,34007900MNNP
1985,2621.668168,34007900,-999,0,0,MN,NP,-999,26,8,34007900MNNP
1986,2728.08913,34007900,-999,0,0,MN,NP,-999,26,8,34007900MNNP
1987,2915.560447,34007900,-999,0,0,MN,NP,-999,26,8,34007900MNNP
1988,2806.501278,34007900,-999,0,0,MN,NP,-999,26,8,34007900MNNP
1989,2634.897275,34007900,-999,0,0,MN,NP,-999,26,8,34007900MNNP
1990,2729.898704,34007900,-999,0,0,MN,NP,-999,26,8,34007900MNNP
1991,2804.83937,34007900,-999,0,0,MN,NP,-999,26,8,34007900MNNP
1992,2431.742207,34007900,-999,0,0,MN,NP,-999,26,8,34007900MNNP
1993,2370.603266,34007900,3.08,0,0,MN,NP,-999,26,8,34007900MNNP
1994,2730.945703,34007900,1.75,0,0,MN,NP,-999,26,8,34007900MNNP
1995,2641.995863,34007900,3,0,0,MN,NP,2764.362432,26,8,34007900MNNP
1996,2544.898594,34007900,3.67,0,0,MN,NP,2262.45744,26,8,34007900MNNP
