order,family,latin.name,spp,life.stage,classification,T0.emprical.estimate,T0.bioenergetics.estimate,T0.empirical.recommended,T0.bioenergetics.recommended,node.id,ogt,ftp,uilt,ctmax,os,oe
acipenseriformes,acipenseridae,acipenser_fulvescens,lake_sturgeon,juvenile,cold_cool,0,NA,0,NA,14,19,11,26.43,27.33,15,14.5
acipenseriformes,acipenseridae,scaphirhynchus_albus,pallid_sturgeon,larvae,cool_warma,NA,5.67,NA,5,NA,NA,NA,NA,NA,NA,NA
acipenseriformes,acipenseridae,scaphirhynchus_albus,pallid_sturgeon,juvenile,cool_warm,NA,6.76,NA,6,NA,NA,NA,NA,NA,NA,NA
beloniformes,scomberesocidae,cololabis_saira,paciﬁc_saury,juvenile,coldb,NA,0.52,NA,0,NA,NA,NA,NA,NA,NA,NA
beloniformes,scomberesocidae,cololabis_saira,paciﬁc_saury,adult,coldb,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA
charcharhiniformes,carcharhinidae,prionace_glauca,blue_shark,NA,cold_cool,NA,2.76,NA,2,NA,NA,NA,NA,NA,NA,NA
clupeiformes,clupeidae,alosa_pseudoharengus,alewife,juvenile,cold,NA,0,NA,0,83,20.1,16.9,23.1,31.3,13.8,17.8
clupeiformes,clupeidae,alosa_pseudoharengus,alewife,adult,cold,NA,0,NA,0,83,20.1,16.9,23.1,31.3,13.8,17.8
clupeiformes,clupeidae,clupea_harengus,herring,young-of-year,cold,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA
clupeiformes,clupeidae,clupea_harengus,herring,juvenile,cold,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA
clupeiformes,clupeidae,clupea_harengus,herring,adult,cold,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA
clupeiformes,clupeidae,dorosoma_cepedianum,gizzard_shad,NA,cool,NA,3.86,NA,3,81,17,20.7,35.5,31.7,22,22.2
cypriniformes,catostomidae,catostomus_commersoni,white_sucker,juvenile,cool,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
cypriniformes,cyprinidae,cyprinus_carpio,common_carp,juvenile,warm,0,NA,0,NA,94,27.3,27.7,34.5,39,24,21
cypriniformes,cyprinidae,gila_cypha,humpback_chub,juvenile_&_sub-adult,NA,7.84,NA,7,NA,NA,NA,NA,NA,NA,NA,NA
cypriniformes,cyprinidae,hypophthalmichthys_molitrix,silver_carp,NA,cool_warm,NA,7.96,NA,7,NA,NA,NA,NA,NA,NA,NA
cypriniformes,cyprinidae,hypophthalmichthys_nobilis,bighead_carp,NA,cool_warm,NA,5.37,NA,5,NA,NA,NA,NA,NA,NA,NA
cypriniformes,cyprinidae,notropis_bairdi,red_river_shiner,NA,warm,NA,17.79,NA,17,NA,NA,NA,NA,NA,NA,NA
cypriniformes,cyprinidae,phoxinus_spp.,dace,juvenile_and_adult,cool,NA,5.5,NA,5,NA,NA,NA,NA,NA,NA,NA
cypriniformes,cyprinidae,pimphales_pomelus,fathead_minnow,NA,cool_warmc,NA,3.28,NA,3,NA,NA,NA,NA,NA,NA,NA
cypriniformes,cyprinidae,ptychocheilus_oregonensis,northern_pikeminnow,NA,NA,NA,3.23,NA,3,NA,NA,NA,NA,NA,NA,NA
clupeiformes,engraulidae,anchoa_mitchilli,bay_anchovy,juvenile_and_adult,cool_warmd,NA,5.22,NA,5,NA,NA,NA,NA,NA,NA,NA
cyprinodontiformes,fundulidae,fundulus_parvipinnis,california_killiﬁsh,juvenile_and_adult,cool_warm,NA,5.93,NA,5,NA,NA,NA,NA,NA,NA,NA
cyprinodontiformes,fundulidae,fundulus_zebrinus,plains_killiﬁsh,NA,warm,NA,16.1,NA,16,NA,NA,NA,NA,NA,NA,NA
cyprinodontiformes,poeciliidae,gambusia_affinis,western_mosquitoﬁsh,juvenile_and_adult,warmd,NA,7.54,NA,7,NA,NA,NA,NA,NA,NA,NA
esociformes,esocidae,esox_lucius,northern_pike,juvenile,cool,0,NA,0,NA,7,23,20.7,31,32.63,11.5,12.1
esociformes,esocidae,esox_lucius,northern_pike,adult,cool,NA,4.35,NA,4,7,23,20.7,31,32.63,11.5,12.1
esociformes,esocidae,esox_masquinongy,muskellunge,adult,warm,NA,6.27,NA,6,6,25.1,25.4,32.2,32,12.8,13.5
esociformes,esocidae,esox_masquinongy_×_e._lucius,tiger_muskellunge,juvenile,cool_warm,NA,6.17,NA,6,NA,NA,NA,NA,NA,NA,NA
gadiformes,gadidae,gadus_morhua,atlantic_cod,juvenile_and_adult,cold,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA
gadiformes,gadidae,gadus_morhua,north_sea_cod,NA,cold,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA
gadiformes,gadidae,theragra_chalcogramma,walleye_pollock,juvenile,cold,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA
gadiformes,gadidae,theragra_chalcogramma,walleye_pollock,adult,cold,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA
gadiformes,lotidae,lota_lota,burbot,juvenile_and_adult,cold_cool,NA,1.22,NA,1,77,16.6,13.2,23.3,27.73,1.2,7.5
gasterosteiformes,gasterosteidae,gasterosteus_aculeatus,threespine_stickleback,NA,cold,NA,4.27,NA,4,61,17.1,12.5,27.2,28.7,12.5,19
osmeriformes,osmeridae,osmerus_mordax,rainbow_smelt,young-of-year,cold,NA,0,NA,0,8,15.93,11.2,21.7,26.73,8.4,14.3
osmeriformes,osmeridae,osmerus_mordax,rainbow_smelt,juvenile,cold,NA,0,NA,0,8,15.93,11.2,21.7,26.73,8.4,14.3
osmeriformes,osmeridae,osmerus_mordax,rainbow_smelt,adult,cold,NA,0,NA,0,8,15.93,11.2,21.7,26.73,8.4,14.3
